Id,y
0,34032433.91370931
1,33862309.72842231
2,34243755.12606462
3,35105304.5834001
4,36288016.37621677
5,37944720.95364146
6,40266994.188861
7,42381180.465068065
8,41503070.310240336
9,34941737.85320376
10,24446758.077128086
11,15112536.93996832
12,9577347.682976482
13,7325486.4283635365
14,7375932.846111635
15,9447207.073419284
16,13601458.017284324
17,19266841.333493672
18,24904542.88874417
19,29247002.647514157
20,32213844.0947746
21,34183442.38092096
22,35232825.617210984
23,35374977.267657764
24,35031772.90861858
25,34871969.87502639
26,35278973.43676782
27,36179872.76354134
28,37411353.14758756
29,39131325.47812878
30,41537784.50229016
31,43729717.030196205
32,42833390.96974341
33,36069063.35944045
34,25240013.34795183
35,15605353.754339874
36,9890984.544202494
37,7566218.378620014
38,7618992.681629808
39,9759154.929148156
40,14051163.296952855
41,19904217.666430455
42,25728268.711293384
43,30213447.034937028
44,33276516.921542943
45,35308313.674910344
46,36388492.790179044
47,36530688.95051113
48,36170859.89564449
49,35999666.26856564
50,36412785.067982435
51,37334658.436136976
52,38596472.977633454
53,40360861.738355964
54,42831602.64290958
55,45079301.60359918
56,44142598.4134823
57,37160514.778272934
58,25995938.209851302
59,16067836.886827119
60,10181018.50128474
61,7785736.776111124
62,7837724.016796324
63,10036441.631472163
64,14446399.969408674
65,20458695.407168012
66,26438415.428179275
67,31040199.55997068
68,34179791.64876684
69,36259703.296895176
