ds,y
2020-06-12 00:00:00,13494062
2020-06-12 01:00:00,13000721
2020-06-12 02:00:00,8362533
2020-06-12 03:00:00,6127788
2020-06-12 04:00:00,5891282
2020-06-12 05:00:00,7352224
2020-06-12 06:00:00,10287959
2020-06-12 07:00:00,14371417
2020-06-12 08:00:00,18763415
2020-06-12 09:00:00,22596314
2020-06-12 10:00:00,25039631
2020-06-12 11:00:00,25930321
2020-06-12 12:00:00,26166841
2020-06-12 13:00:00,26149433
2020-06-12 14:00:00,25494107
2020-06-12 15:00:00,25420222
2020-06-12 16:00:00,26125359
2020-06-12 17:00:00,28293018
2020-06-12 18:00:00,28869882
2020-06-12 19:00:00,29506544
2020-06-12 20:00:00,30642117
2020-06-12 21:00:00,31836916
2020-06-12 22:00:00,30852326
2020-06-12 23:00:00,26362575
2020-06-13 00:00:00,19445946
2020-06-13 01:00:00,12943992
2020-06-13 02:00:00,8325941
2020-06-13 03:00:00,6141476
2020-06-13 04:00:00,5698228
2020-06-13 05:00:00,6886548
2020-06-13 06:00:00,9449459
2020-06-13 07:00:00,13272509
2020-06-13 08:00:00,17400573
2020-06-13 09:00:00,21260607
2020-06-13 10:00:00,23489850
2020-06-13 11:00:00,24603711
2020-06-13 12:00:00,24883570
2020-06-13 13:00:00,25364383
2020-06-13 14:00:00,24997089
2020-06-13 15:00:00,25308089
2020-06-13 16:00:00,25288256
2020-06-13 17:00:00,25655798
2020-06-13 18:00:00,26418524
2020-06-13 19:00:00,27712216
2020-06-13 20:00:00,29897096
2020-06-13 21:00:00,30875851
2020-06-13 22:00:00,30081451
2020-06-13 23:00:00,26750725
2020-06-14 00:00:00,19929154
2020-06-14 01:00:00,13069154
2020-06-14 02:00:00,8410353
2020-06-14 03:00:00,5968266
2020-06-14 04:00:00,5301624
2020-06-14 05:00:00,6428819
2020-06-14 06:00:00,8865572
2020-06-14 07:00:00,12592312
2020-06-14 08:00:00,17023784
2020-06-14 09:00:00,21164811
2020-06-14 10:00:00,24282917
2020-06-14 11:00:00,25377661
2020-06-14 12:00:00,26036631
2020-06-14 13:00:00,25373961
2020-06-14 14:00:00,25659585
2020-06-14 15:00:00,25558130
2020-06-14 16:00:00,25918264
2020-06-14 17:00:00,26760863
2020-06-14 18:00:00,27892616
2020-06-14 19:00:00,29926896
2020-06-14 20:00:00,31888654
2020-06-14 21:00:00,33121641
2020-06-14 22:00:00,32036855
2020-06-14 23:00:00,26995561
2020-06-15 00:00:00,19310444
2020-06-15 01:00:00,12184504
2020-06-15 02:00:00,7731646
2020-06-15 03:00:00,5747712
2020-06-15 04:00:00,5876568
2020-06-15 05:00:00,7836900
2020-06-15 06:00:00,11293310
2020-06-15 07:00:00,15484689
2020-06-15 08:00:00,19682713
2020-06-15 09:00:00,23124641
2020-06-15 10:00:00,25557008
2020-06-15 11:00:00,26476390
2020-06-15 12:00:00,26495647
2020-06-15 13:00:00,26517446
2020-06-15 14:00:00,25894500
